application_number,filing_date,invention_subject_matter,application_type,examiner_name_last,examiner_name_first,examiner_name_middle,examiner_id,examiner_art_unit,uspc_class,uspc_subclass,confirm_number,customer_number,atty_docket_number,appl_status_code,appl_status_date,file_location,file_location_date,earliest_pgpub_number,earliest_pgpub_date,wipo_pub_number,wipo_pub_date,patent_number,patent_issue_date,abandon_date,disposal_type,invention_title,small_entity_indicator,aia_first_to_file
PCT/US99/29153,1999-12-08,?,PCT,None,None,None,,5332,000,000000,,None,97-731,218,12jan2000 18:43:26,9200,2006-03-27,,,200035265,2000-06-22,,,,PEND,APPARATUS AND METHOD FOR MONITORING AND COORDINATING THE HARVESTING AND TRANSPORTING,0,0
PCT/US99/29154,1999-12-08,?,PCT,None,None,None,,5332,000,000000,,None,CL1135,218,12jan2000 18:43:21,9200,2006-03-27,,,200034357,2000-06-15,,,,PEND,PREPARATION OF OLEFIN COPOLYMES OF SULFUR DIOXIDE OR CARBON MONOXIDE,0,0
PCT/US99/29155,1999-12-08,?,PCT,None,None,None,,5332,000,000000,,None,RD7705 PCT,218,12jan2000 18:43:15,9200,2006-03-27,,,200035333,2000-06-22,,,,PEND,FLOOR CLEANING APPARATUS HAVING A FOAM DISTRIBUTING DEVICE THEREIN,0,0
PCT/US99/29156,1999-12-08,?,PCT,None,None,None,,5332,000,000000,,None,1980044A/505,218,05jan2000 18:43:10,9200,2006-03-27,,,200034344,2000-06-15,,,,PEND,IN MOLD ADDITION POLYMERIZATION OF NORBORNENE-TYPE MONOMERS USING GROUP 10 METAL COMPLEXES,0,0
PCT/US99/29157,1999-12-09,?,PCT,None,None,None,,5332,000,000000,,None,3597-098-304,218,12jan2000 18:43:05,9200,2006-03-27,,,200034190,2000-06-15,,,,PEND,METHOD AND COMPOSITIONS FOR MINIMIZING BIOLOGICAL AND COLLOIDAL FOULING,0,0
PCT/US99/29158,1999-12-09,?,PCT,None,None,None,,5332,000,000000,,None,202998,218,12jan2000 18:43:01,9200,2006-03-27,,,200034857,2000-06-15,,,,PEND,ACCELERATING A DISTRIBUTED COMPONENT ARCHITECTURE OVER A NETWORK USING A DIRECT MARSHALING,0,0
PCT/US99/29159,1999-12-09,?,PCT,BELLINGER,JASON,R,99702,3617,301,059000,,None,98-105,256,10nov2001 00:00:00,9200,2006-03-27,,,200035683,2000-06-22,,,,PEND,VEHICLE WHEEL,0,0
PCT/US99/29160,1999-12-09,?,PCT,HARVEY,DAVID,E,70847,2714,348,625000,,None,FD98-026,256,10nov2001 00:00:00,9200,2006-03-27,,,200035203,2000-06-15,,,,PEND,PROCESSING VIDEO SIGNALS IN FIELD EMISSION DISPLAY,0,0
PCT/US99/29161,1999-12-09,?,PCT,WILSON,JOHN,J,61470,3732,433,007000,,None,G098 2010,566,20jun2008 00:00:00,9200,2017-03-08,,,200033756,2000-06-15,,,,PEND,ORTHODONTIC ANCHOR SYSTEM,0,0
PCT/US99/29162,1999-12-09,?,PCT,CHEN,SHIN LIN,,75340,1633,800,018000,,None,07039/088WO1,256,10nov2001 00:00:00,9200,2006-03-27,,,200034304,2000-06-15,,,,PEND,EOSINOPHIL-SPECIFIC EXPRESSION OF TRANSGENES,0,0
PCT/US99/29163,1999-12-09,?,PCT,None,None,None,,5332,000,000000,,None,DMRI08144WO0,218,03jan2000 18:42:11,9200,2006-03-27,,,200038389,2000-06-29,,,,PEND,METHOD AND APPARATUS FOR COMMUNICATIONS TRANSLATIONS BETWEEN DIFFERENT COMMUNICATIONS,0,0
PCT/US99/29164,1999-12-09,?,PCT,None,None,None,,5332,000,000000,,None,A02.114PCT,218,04jan2000 18:42:04,9200,2006-03-27,,,200035097,2000-06-15,,,,PEND,CALIBRATION AND COMPENSATION OF DELTA SIGMA ADC'S AND DAC'S BY CORRELATING NOISE SIGNALS,0,0
PCT/US99/29165,1999-12-09,?,PCT,RAMSUER,ROBERT,W,68346,1626,514,109000,,None,9/148 PCT-2,256,10nov2001 00:00:00,9200,2006-03-27,,,200043384,2000-07-27,,,,PEND,AROMATIC HETEROCYCLIC COMPOUNDS AS ANTIINFLAMMATORY AGENTS,0,0
PCT/US99/29166,1999-12-08,?,PCT,JEAN PIERRE,PEGUY,,65909,2845,341,154000,,None,055123.P135,256,10nov2001 00:00:00,9200,2006-03-27,,,200069077,2000-11-16,,,,PEND,METHOD AND APPARATUS FOR DEGLITCHING DIGITAL TO ANALOG CONVERTERS,0,0
